top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   1383 syslog    20   0  221568  10372   3584 S   0,0   0,1   0:00.03 rs:main+
   1349 _chrony   20   0   12544   3164   2520 S   0,0   0,0   0:00.00 chronyd
   1358 root      20   0  417356  32088  17540 S   0,0   0,3   0:00.09 Network+
   1406 root      20   0  417356  32088  17540 S   0,0   0,3   0:00.04 gmain
   1407 root      20   0  417356  32088  17540 S   0,0   0,3   0:00.00 pool-sp+
   1408 root      20   0  417356  32088  17540 S   0,0   0,3   0:00.02 gdbus
  19340 root      20   0  417356  32088  17540 S   0,0   0,3   0:00.00 pool-27
   1359 root      20   0   19536   6492   5604 S   0,0   0,1   0:00.01 wpa_sup+
   1401 root      20   0  347480  26128  14652 S   0,0   0,2   0:00.02 ModemMa+
   1417 root      20   0  347480  26128  14652 S   0,0   0,2   0:00.00 gmain
   1419 root      20   0  347480  26128  14652 S   0,0   0,2   0:00.00 pool-sp+
   1422 root      20   0  347480  26128  14652 S   0,0   0,2   0:00.00 gdbus
   1489 root      20   0   34224  13208   8452 S   0,0   0,1   0:00.00 cupsd
   1492 root      20   0  129028  33032  14024 S   0,0   0,3   0:00.03 unatten+
   1536 root      20   0  129028  33032  14024 S   0,0   0,3   0:00.00 gmain
   1510 root      20   0 2256464  73672  26456 S   0,0   0,6   0:00.01 contain+
   1525 root      20   0 2256464  73672  26456 S   0,0   0,6   0:02.62 contain+
   1526 root      20   0 2256464  73672  26456 S   0,0   0,6   0:04.00 contain+
   1527 root      20   0 2256464  73672  26456 S   0,0   0,6   0:00.00 contain+
   1528 root      20   0 2256464  73672  26456 S   0,0   0,6   0:04.72 contain+
   1529 root      20   0 2256464  73672  26456 S   0,0   0,6   0:00.00 contain+
   1550 root      20   0 2256464  73672  26456 S   0,0   0,6   0:04.80 contain+
   1551 root      20   0 2256464  73672  26456 S   0,0   0,6   0:05.13 contain+
   1554 root      20   0 2256464  73672  26456 S   0,0   0,6   0:03.56 contain+
   1555 root      20   0 2256464  73672  26456 S   0,0   0,6   0:02.57 contain+
   4835 root      20   0 2256464  73672  26456 S   0,0   0,6   0:04.64 contain+
   4836 root      20   0 2256464  73672  26456 S   0,0   0,6   0:04.47 contain+
   5011 root      20   0 2256464  73672  26456 S   0,0   0,6   0:01.33 contain+
   1523 root      20   0  409604  25400  12744 S   0,0   0,2   0:00.00 gdm3
   1530 root      20   0  409604  25400  12744 S   0,0   0,2   0:00.00 pool-sp+
   1531 root      20   0  409604  25400  12744 S   0,0   0,2   0:00.00 gmain
   1532 root      20   0  409604  25400  12744 S   0,0   0,2   0:00.00 gdbus
   1533 root      20   0  409604  25400  12744 S   0,0   0,2   0:00.02 GDM use+
   1635 cups-br+  20   0  211736  21368  14136 S   0,0   0,2   0:00.02 cups-br+
   1663 cups-br+  20   0  211736  21368  14136 S   0,0   0,2   0:00.00 pool-sp+
   1664 cups-br+  20   0  211736  21368  14136 S   0,0   0,2   0:00.00 gmain
   1666 cups-br+  20   0  211736  21368  14136 S   0,0   0,2   0:00.00 gdbus
   1636 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.11 dockerd
   1673 root      20   0 2383708 113828  54172 S   0,0   1,0   0:02.03 dockerd
   1674 root      20   0 2383708 113828  54172 S   0,0   1,0   0:01.87 dockerd
   1675 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.00 dockerd
   1677 root      20   0 2383708 113828  54172 S   0,0   1,0   0:02.06 dockerd
   1679 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.00 dockerd
   1680 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.00 dockerd
   1837 root      20   0 2383708 113828  54172 S   0,0   1,0   0:01.96 dockerd
   1838 root      20   0 2383708 113828  54172 S   0,0   1,0   0:01.29 dockerd
   1863 root      20   0 2383708 113828  54172 S   0,0   1,0   0:01.88 dockerd
   1865 root      20   0 2383708 113828  54172 S   0,0   1,0   0:02.15 dockerd
  12383 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.50 dockerd
  13831 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.16 dockerd
  14202 root      20   0 2383708 113828  54172 S   0,0   1,0   0:00.06 dockerd
   1722 rtkit     21   1   21708   2876   2664 S   0,0   0,0   0:00.00 rtkit-d+
   1727 rtkit     20   0   21708   2876   2664 S   0,0   0,0   0:00.01 rtkit-d+
   1728 rtkit     rt   1   21708   2876   2664 S   0,0   0,0   0:00.01 rtkit-d+
   2144 colord    20   0  342416  28520  13376 S   0,0   0,2   0:00.03 colord
   2151 colord    20   0  342416  28520  13376 S   0,0   0,2   0:00.00 pool-sp+
   2152 colord    20   0  342416  28520  13376 S   0,0   0,2   0:00.00 gmain
   2154 colord    20   0  342416  28520  13376 S   0,0   0,2   0:00.00 gdbus
   2175 root      20   0  320952  19184   8868 S   0,0   0,2   0:00.03 upowerd
   2240 root      20   0  320952  19184   8868 S   0,0   0,2   0:00.00 pool-sp+
   2241 root      20   0  320952  19184   8868 S   0,0   0,2   0:00.00 gmain
   2243 root      20   0  320952  19184   8868 S   0,0   0,2   0:00.01 gdbus
   2588 root      20   0  311356  15072   6228 S   0,0   0,1   0:00.01 power-p+
   2595 root      20   0  311356  15072   6228 S   0,0   0,1   0:00.00 pool-sp+
   2596 root      20   0  311356  15072   6228 S   0,0   0,1   0:00.00 gmain
   2597 root      20   0  311356  15072   6228 S   0,0   0,1   0:00.00 gdbus
   2809 root      20   0  178112  15352   8216 S   0,0   0,1   0:00.00 gdm-ses+
   2810 root      20   0  178112  15352   8216 S   0,0   0,1   0:00.00 pool-sp+
   2811 root      20   0  178112  15352   8216 S   0,0   0,1   0:00.00 gmain
   2812 root      20   0  178112  15352   8216 S   0,0   0,1   0:00.00 gdbus
   2888 root      20   0  371336  52272  37660 S   0,0   0,4   0:00.10 fwupd
   2892 root      20   0  371336  52272  37660 S   0,0   0,4   0:00.06 gmain
   2893 root      20   0  371336  52272  37660 S   0,0   0,4   0:00.00 pool-sp+
   2894 root      20   0  371336  52272  37660 S   0,0   0,4   0:00.01 gdbus
   2920 bruno     20   0   24544  15512  10584 S   0,0   0,1   0:00.32 systemd
   2922 bruno     20   0   26984   6012   2136 S   0,0   0,1   0:00.00 (sd-pam)
   2955 bruno     20   0    9972   6984   4108 S   0,0   0,1   0:00.65 dbus-da+
   2956 bruno      9 -11  172864  18360   8180 S   0,0   0,2   0:00.17 pipewire
   2969 bruno     20   0  172864  18360   8180 S   0,0   0,2   0:00.00 module-+
   2979 bruno    -21   0  172864  18360   8180 S   0,0   0,2   0:09.59 data-lo+
   2960 bruno     20   0  184876  13820   8760 S   0,0   0,1   0:00.00 gnome-k+
   2962 bruno     20   0  184876  13820   8760 S   0,0   0,1   0:00.00 pool-sp+
   2963 bruno     20   0  184876  13820   8760 S   0,0   0,1   0:00.00 gmain
   2967 bruno     20   0  184876  13820   8760 S   0,0   0,1   0:00.01 gdbus
   2980 bruno     20   0  184876  13820   8760 S   0,0   0,1   0:00.00 timer
   2961 bruno     20   0    7292   3348   3120 S   0,0   0,0   0:00.01 mpris-p+
   2968 bruno      9 -11  587068  39084  18016 S   0,0   0,3   0:00.10 wireplu+
   2986 bruno     20   0  587068  39084  18016 S   0,0   0,3   0:00.00 module-+
   2988 bruno     20   0  587068  39084  18016 S   0,0   0,3   0:00.00 gmain
   2989 bruno     20   0  587068  39084  18016 S   0,0   0,3   0:00.00 pool-sp+
   3054 bruno     20   0  587068  39084  18016 S   0,0   0,3   0:00.00 gdbus
   3065 bruno    -21   0  587068  39084  18016 S   0,0   0,3   0:00.00 data-lo+
   2976 bruno     20   0   86684   6604   3972 S   0,0   0,1   0:00.00 pipewire
   2982 bruno     20   0   86684   6604   3972 S   0,0   0,1   0:00.00 module-+
   2977 bruno      9 -11  186420  22892  10336 S   0,0   0,2   0:00.03 pipewir+
   2984 bruno     20   0  186420  22892  10336 S   0,0   0,2   0:00.00 module-+
   2985 bruno    -21   0  186420  22892  10336 S   0,0   0,2   0:00.00 data-lo+
   3024 bruno     20   0  169808  10188   5632 S   0,0   0,1   0:00.00 gdm-way+
   3038 bruno     20   0  169808  10188   5632 S   0,0   0,1   0:00.00 gmain
   3039 bruno     20   0  169808  10188   5632 S   0,0   0,1   0:00.00 pool-sp+
